CCAA;Any of the surveyed tasks;Copy or move files or folders;Use a word processor;Create presentations or documents involving text. images. tables or graphs;Use spreadsheets in general;Use spreadsheets advanced functions;Use multimedia editors;Programming
Andalucía;59.6;54.5;48.3;36.6;31.3;18.8;35.3;5.7
Aragón;65.1;59.9;51.8;41.3;40.6;26.7;38.8;5.6
Principado de Asturias;65.3;59.6;52;38.3;35.8;23.9;37.3;7.7
Illes Balears;62;57.8;51.5;38.5;41.8;23.3;38.4;3.8
Canarias;58;51.8;47.6;36.7;35.5;21.3;33.6;8.3
Cantabria;66.3;59.9;56.3;44.2;38.6;24.7;42.9;7.5
Castilla y León;62.3;57.2;50.7;39.8;35.1;22.9;35.3;5.7
Castilla-La Mancha;59.1;53.4;46.7;36.6;31.6;18.3;36.4;5.4
Cataluña;70.3;63.9;58.5;45.2;44.7;31.8;44.3;8.6
Comunitat Valenciana;63.5;58.8;48.3;37.5;36.1;23.5;38.9;5.5
Extremadura;60.3;55.5;48.8;38.3;33.3;21.1;38.5;4.9
Galicia;57.4;52.3;45.7;34.9;30.6;20.5;33.7;6
Comunidad de Madrid;74.5;68.7;62.2;49.3;48.8;33.8;47.6;10
Región de Murcia;56.3;52.1;47.2;38;30.9;17.6;34.6;3.3
Comunidad Foral de Navarra;69.1;64.2;53.4;43.7;40.6;26.2;39.5;7.4
País Vasco;66.8;61.7;53.9;39.7;41.2;27.3;36;5.9
La Rioja;62.1;56.1;48;38.5;34.4;20.6;36.3;6
Ceuta;88.1;88.1;80.5;66.8;64.7;35.8;64.2;9.6
Melilla;52.3;41.6;41.5;27.2;28;11.4;28.6;4.9